LAT,LON,ER100,ER150,ER_Prob,RP10,RP20,RP50,RP100,RP_Avg,P_D1,P_D2,P_D3,P_D4,Drought_Prob,RP_Prob,Composite_Hazard
24.25,71.25,0.0014,0.0004,0.0009,180.38,226.12,288.36,376.42,267.82,0.1316,0.0351,0,0,0.0417,0.319461597,0.1128
24.25,71.5,0.0015,0.0006,0.001,189.86,284.19,341.17,366.24,295.37,0.1491,0.0263,0,0,0.0439,0.353829073,0.124
24.25,71.75,0.0013,0.0004,0.0009,174.58,208.74,292.69,362.62,259.66,0.1404,0.0175,0,0,0.0395,0.309282337,0.1089
24.25,72,0.002,0.0006,0.0013,192.61,249.19,305.49,386.51,283.45,0.114,0.0351,0,0,0.0373,0.33895937,0.117
24.25,72.25,0.0021,0.0007,0.0014,190.98,239.85,342.04,369.39,285.57,0.1228,0.0351,0.0088,0,0.0417,0.341603982,0.1196
24.25,72.5,0.0022,0.0008,0.0015,200.23,254.12,285.45,312.7,263.12,0.1404,0.0526,0.0088,0,0.0504,0.313598543,0.1147
24.25,72.75,0.0024,0.0007,0.0016,204.09,237.45,257.46,259.41,239.6,0.1579,0.0175,0,0,0.0439,0.284258324,0.1033
24.25,73,0.0021,0.0006,0.0013,188.45,217.62,269.1,271.22,236.6,0.114,0.0263,0,0,0.0351,0.280515949,0.0986
24.25,73.25,0.001,0.0003,0.0006,145.86,183.91,209.16,230.91,192.46,0.1754,0.0439,0.0175,0.0088,0.0614,0.225453139,0.0924
24.25,73.5,0.0007,0.0002,0.0005,137.94,174.84,198.91,248.94,190.15,0.1316,0.0175,0.0088,0.0088,0.0417,0.222571511,0.0836
24.25,73.75,0.0008,0.0002,0.0005,138.1,181.37,195.92,197.24,178.16,0.2018,0.0263,0.0088,0.0088,0.0614,0.207614485,0.087
24.25,74,0.0008,0.0001,0.0005,124.13,160.53,187.63,216.52,172.2,0.1316,0.0263,0.0088,0.0088,0.0439,0.200179634,0.0778
24.25,74.25,0.0011,0.0002,0.0006,134.71,174.78,194.65,206.24,177.59,0.1579,0.0175,0.0088,0.0088,0.0482,0.206903434,0.0815
24.25,74.5,0.0011,0.0002,0.0006,145.46,160.16,193.12,205.11,175.96,0.1491,0.0526,0.0439,0.0088,0.0636,0.204870077,0.0871
24.25,74.75,0.0011,0.0002,0.0007,137.13,166.85,201.99,236.79,185.69,0.1228,0.0088,0.0088,0.0088,0.0373,0.217007847,0.0802
24.25,75,0.001,0.0001,0.0006,133.81,151.6,185.35,198.33,167.27,0.1404,0.0351,0.0088,0.0088,0.0482,0.194029665,0.0777
24.25,75.25,0.0013,0.0002,0.0007,145.73,170.42,212.11,237.24,191.37,0.1316,0.0439,0.0088,0.0088,0.0482,0.22409341,0.0867
